,,,,,,,
Date,Start Time,End Time,Journey/Action,Charge,Credit,Balance,Note
31-Aug-2018,16:11,16:50,Station A to Station B,0,NA,8,NA
31-Aug-2018,06:47,07:34,Station B to Station A,0,NA,8,NA
28-Aug-2018,18:57,19:44,Station C to Station R,0,NA,8,NA
28-Aug-2018,13:49,14:43,Station R to Station L,0,NA,8,NA
26-Aug-2018,17:51,19:18,Station D to Station R,0,NA,8,NA
26-Aug-2018,17:24,NA,"Bus journey, route 999",0,NA,8,NA
26-Aug-2018,11:37,NA,"Bus journey, route 999",0,NA,8,NA
26-Aug-2018,10:19,11:20,Station B to Station D,0,NA,8,NA
25-Aug-2018,21:10,22:05,Station E to Station B,0,NA,8,NA
25-Aug-2018,07:18,08:05,Station B to Station A,0,NA,8,NA
24-Aug-2018,21:52,22:44,Station F to Station M,0,NA,8,NA
24-Aug-2018,17:03,17:12,Station G to Station F,0,NA,8,NA
24-Aug-2018,07:04,07:54,Station B to Station A,0,NA,8,NA
23-Aug-2018,17:00,17:56,Station A to Station B,0,NA,8,NA
23-Aug-2018,07:05,08:15,Station B to Station G,0,NA,8,NA
19-Aug-2018,15:35,16:34,Station A to Station B,0,NA,8,NA
19-Aug-2018,07:06,07:47,Station B to Station A,0,NA,8,NA
18-Aug-2018,16:46,17:35,Station A to Station B,0,NA,8,NA
18-Aug-2018,06:49,07:32,Station B to Station A,0,NA,8,NA
17-Aug-2018,16:42,17:36,Station A to Station B,0,NA,8,NA
17-Aug-2018,06:57,07:51,Station B to Station A,0,NA,8,NA
16-Aug-2018,16:25,17:04,Station A to Station B,0,NA,8,NA
16-Aug-2018,07:05,07:47,Station B to Station A,0,NA,8,NA
12-Aug-2018,17:57,18:38,Station E to Station B,0,NA,8,NA
12-Aug-2018,07:05,07:47,Station B to Station A,0,NA,8,NA
11-Aug-2018,16:42,17:36,Station A to Station B,0,NA,8,NA
11-Aug-2018,07:17,08:03,Station B to Station A,0,NA,8,NA
10-Aug-2018,16:37,17:20,Station A to Station B,0,NA,8,NA
10-Aug-2018,07:05,07:47,Station B to Station A,0,NA,8,NA
10-Aug-2018,07:05,NA,"Season ticket added on touch in, Station B",0,NA,8,NA
09-Aug-2018,16:14,17:05,Station A to Station B,4.7,NA,8,NA
09-Aug-2018,16:13,NA,"Topped up, Station A",NA,10,12.7,NA
09-Aug-2018,07:05,07:48,Station B to Station A,4.7,NA,2.7,NA
08-Aug-2018,14:57,16:33,Station H to Station B,2,NA,7.4,You have been charged for travelling in zones not covered by your Travelcard.
08-Aug-2018,10:36,NA,"Topped up,  ",NA,10,11.4,NA
08-Aug-2018,09:49,11:21,Station B to Station H,2,NA,9.4,You have been charged for travelling in zones not covered by your Travelcard.
07-Aug-2018,23:25,00:08,Station I to Station B,0,NA,1.4,NA
07-Aug-2018,18:44,19:14,Station J to Station N,0,NA,1.4,NA
07-Aug-2018,18:29,NA,"Bus journey, route 997",0,NA,1.4,NA
07-Aug-2018,17:47,18:18,Station B to Station O,0,NA,1.4,NA
06-Aug-2018,17:32,NA,"Bus journey, route 998",0,NA,1.4,NA
06-Aug-2018,16:49,17:29,Station A to Station P,0,NA,1.4,NA
06-Aug-2018,07:04,07:46,Station B to Station A,0,NA,1.4,NA
05-Aug-2018,16:58,17:38,Station I to Station B,0,NA,1.4,NA
05-Aug-2018,11:18,11:59,Station B to Station I,0,NA,1.4,NA
04-Aug-2018,19:38,20:37,Station K to Station B,0,NA,1.4,NA
04-Aug-2018,06:28,07:04,Station B to Station C,0,NA,1.4,NA
03-Aug-2018,16:36,17:18,Station A to Station B,0,NA,1.4,NA
03-Aug-2018,07:02,07:46,Station B to Station A,0,NA,1.4,NA
02-Aug-2018,16:41,17:31,Station E to Station B,0,NA,1.4,NA
02-Aug-2018,06:50,07:36,Station B to Station A,0,NA,1.4,NA
